product_title,link,price,currency,pre_reduction,discount
Kids Samba Og Cf El C,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-samba-og-cf-el-c/Z384D5B4867B8479398DEZ/p/,26.52,BHD,35.67,-26%
Kids Smash 3.0 L V Ps,https://www.namshi.com//bahrain-en/buy-puma-kids-smash-3-0-l-v-ps/V6F03180935E4658819C6V/p/,11.73,BHD,21.57,-46%
Air Jordan 1 Mid,https://www.namshi.com//bahrain-en/buy-jordan-air-jordan-1-mid/Z59C82454C4FBA0C206AAZ/p/,37.34,BHD,57.35,-35%
Kids Smash 3.0 L V Ps,https://www.namshi.com//bahrain-en/buy-puma-kids-smash-3-0-l-v-ps/V5E94ACA3FA89FC3BB1AAV/p/,9.79,BHD,21.57,-55%
Unisex Kids BMW M Motorsport Drift Cat Decima motorsport shoe,https://www.namshi.com//bahrain-en/buy-bmw-motorsport-unisex-kids-bmw-m-motorsport-drift-cat-decima-motorsport-shoe/ZB998C33A9B409A9041F1Z/p/,11.99,BHD,37.51,-69%
Infant Campus 00S Cf El,https://www.namshi.com//bahrain-en/buy-adidas-originals-infant-campus-00s-cf-el/VE78D423B48B2DD0ACB92V/p/,16.28,BHD,30.24,-47%
Kids Grand Court Minnie,https://www.namshi.com//bahrain-en/buy-adidas-kids-grand-court-minnie/V78A35CE8FAD69159F11EV/p/,12.52,BHD,27.00,-54%
Nike Metro Tek,https://www.namshi.com//bahrain-en/buy-nike-nike-metro-tek/VC6E3E96CEA5E75BAF670V/p/,14.91,BHD,37.83,-61%
Kids Old Skool V Sneakers,https://www.namshi.com//bahrain-en/buy-vans-kids-old-skool-v-sneakers/VFFD1F60B9F32091CB10DV/p/,10.81,BHD,24.83,-57%
Kids Tensaur Run 3.0 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-tensaur-run-3-0-el/VBDF23A7DAED77951F3FBV/p/,12.63,BHD,19.41,-35%
Kids Gel-1130 Ps,https://www.namshi.com//bahrain-en/buy-asics-kids-gel-1130-ps/Z6581AA441AEB85761248Z/p/,39.27,BHD,,
Infant Tensaur Comfort Ac,https://www.namshi.com//bahrain-en/buy-adidas-infant-tensaur-comfort-ac/Z47F95B8418E2BDF5AD6BZ/p/,15.03,BHD,19.41,-23%
